"","fs_method","nfeatures","train_mse","test_mse"
"153","PCA",13,0.9214,0.9222
"154","PCA",14,0.9205,0.9215
"155","PCA",15,0.9205,0.9215
"156","PCA",16,0.9084,0.9094
"157","PCA",17,0.9082,0.9092
"158","PCA",18,0.9076,0.9087
"159","PCA",19,0.9076,0.9087
"160","PCA",20,0.9035,0.9047
"161","PCA",21,0.8982,0.8994
"162","PCA",22,0.898,0.8993
"163","PCA",23,0.8251,0.8266
"164","PCA",24,0.8087,0.8103
"165","PCA",25,0.8011,0.8027
"166","PCA",26,0.7983,0.7999
"167","PCA",27,0.7981,0.7998
"168","PCA",28,0.7981,0.7998
"169","PCA",29,0.7586,0.7602
"170","PCA",30,0.7586,0.7603
"171","PCA",31,0.7586,0.7603
"172","PCA",32,0.7574,0.7592
"173","PCA",33,0.7473,0.7491
"174","PCA",34,0.7471,0.7489
"175","PCA",35,0.747,0.7489
"176","PCA",36,0.747,0.7489
"177","PCA",37,0.7441,0.7461
"178","PCA",38,0.7441,0.746
"179","PCA",39,0.744,0.746
"180","PCA",40,0.7424,0.7444
"181","PCA",41,0.7362,0.7382
"182","PCA",42,0.7319,0.7339
"183","PCA",43,0.7303,0.7323
"184","PCA",44,0.7303,0.7324
"185","PCA",45,0.7303,0.7324
"186","PCA",46,0.7189,0.721
"187","PCA",47,0.7169,0.719
"188","PCA",48,0.7165,0.7187
"189","PCA",49,0.6751,0.6771
"190","PCA",50,0.675,0.677
"191","PCA",51,0.6742,0.6763
"192","PCA",52,0.6729,0.6751
"193","PCA",53,0.6695,0.6717
"194","PCA",54,0.6693,0.6715
"195","PCA",55,0.6691,0.6714
"196","PCA",56,0.6684,0.6706
"197","PCA",57,0.6658,0.6681
"198","PCA",58,0.6651,0.6675
"199","PCA",59,0.6612,0.6636
"200","PCA",60,0.6582,0.6612
"201","PCA",61,0.6582,0.6612
"202","PCA",62,0.6582,0.6612
"203","PCA",63,0.6581,0.6611
"204","PCA",64,0.658,0.661
"205","PCA",65,0.658,0.6611
"206","PCA",66,0.6399,0.643
"207","PCA",67,0.6267,0.6298
"208","PCA",68,0.6216,0.6248
"209","PCA",69,0.6215,0.6247
"210","PCA",70,0.6187,0.6219
